minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,under_pressure,is_goal
90,103.3,28.7,20.163829001457042,0.30143344188378657,Right Foot,Open Play,False,1
91,105.1,33.1,16.42010962204577,0.4024411773868183,Left Foot,Open Play,False,0
16,100.8,27.3,23.02020851339101,0.2656590789848034,Left Foot,Open Play,False,0
37,102.6,49.9,20.01924074484345,0.3176633836949838,Left Foot,Open Play,False,0
39,97.2,59.9,30.263013729633734,0.18286955459484322,Left Foot,Free Kick,False,0
47,100.5,36.1,19.88617610301186,0.3575444084134002,Right Foot,Open Play,False,0
55,91.5,50.4,30.3382596732245,0.22607539115724432,Left Foot,Open Play,False,0
76,118.5,32.2,7.942921376924233,0.21745669505602838,Head,Open Play,True,1
81,94.0,52.5,28.848743473503312,0.22836773893591428,Left Foot,Free Kick,False,0
82,97.6,53.5,26.153584840323518,0.2397994417969923,Left Foot,Free Kick,False,0
86,91.9,41.2,28.125611104472018,0.2585813790647383,Left Foot,Free Kick,False,0
89,111.9,52.9,15.232202729743321,0.2648344882232423,Left Foot,Open Play,False,1
7,97.3,44.2,23.08527669316528,0.309551020404002,Left Foot,Open Play,False,0
11,93.3,35.6,27.060118255469618,0.26546568105249213,Left Foot,Free Kick,False,0
12,96.0,42.9,24.174573419193976,0.29847215303769303,Right Foot,Open Play,False,0
12,114.0,45.8,8.345058418010023,0.6629717844864331,Left Foot,Open Play,True,0
12,111.5,55.1,17.328012003689288,0.21358854452288467,Left Foot,Open Play,False,0
12,103.4,51.2,20.024984394500784,0.3037909910861891,Right Foot,Open Play,False,0
13,100.7,49.3,21.423818520515894,0.30703174582978504,Left Foot,Open Play,False,0
16,94.9,46.7,25.978837541352764,0.27091987333580697,Right Foot,Open Play,False,0
22,99.8,55.1,25.220031720836516,0.23315483759350852,Left Foot,Open Play,False,0
26,93.1,34.6,27.43665431498528,0.26027594631007933,Left Foot,Free Kick,False,0
30,108.1,48.1,14.395138068111752,0.4223690813272897,Right Foot,Open Play,False,0
34,112.1,35.7,8.994442728707547,0.7083451246825123,Head,Open Play,True,1
38,112.5,30.9,11.792370414806348,0.4118881717701405,Left Foot,Open Play,False,0
41,105.8,53.5,19.593111034238543,0.27352313912360715,Left Foot,Open Play,False,0
41,107.5,45.3,13.577186748365802,0.4914574922922643,Right Foot,Open Play,False,0
47,92.2,44.0,28.086295590554474,0.25663816797825023,Left Foot,Open Play,False,0
